rig,torque,speed,depth,fwdwraps,revwraps,offset,bitsize,pipesize,adspdeltap,adsprop,adspwob,standpipepressure,hookload
R249,12,60,5871,0.1,0.1,0,8.5,5.5,1200,420,45,3539,114
R255,30,75,20330,13,14,0.65,8.5,5.5,199,16.5,70,4130,169.7
R261,15,80,10980,0.3,0.3,4.53,8.75,5.5,550,165,54.9,3500,198.5
R384,9.5,40,17750,0,0,-6.1,6.75,5,271,50,30,4496,162.3
R390,15,20,24340,0,0,0,6.75,5,936,150,28,2036,182.3
R444,20,45,19140,7,9,-2,8.5,5.5,350,25,35,4599,188.4
R473,13,40,16740,4.2,4.2,-1.25,6.75,5,800,300,7,5150,191.8
R486,16.6,55,23910,15,15,-0.48,6.75,4.5,175,20,30,5868,165.4
R494,17.4,70,23220,5.1,6,-3.55,8.75,5,1225,55,47,2854,209.1
R503,8,60,15944,6,6,-2,6.75,5,550,100,24,5017,209.1
R514,26,70,26020,10.5,11,1,6.75,5,500,60,82,4140,141.1
R522,20,60,9890,5,5,-0.375,7.875,5,450,10,55,3057.5,135.3
R523,18,50,16310,7.2,7.2,-2,6.75,5.5,167,28,48,5515,137.3
R529,27,80,26020,6.1,8,-4,6.75,5,375,14,40,4686.1,282.6
R535,13.3,40,1390,0,0,0,6.75,5,1000,275,30,5025,168.5
R543,16,45,19140,7,9,0.75,6.75,5,500,100,19,4725,156
R547,13.5,43,18180,2.5,3.2,-1.5,7.875,5,100,14,45,4785,227.8
R607,10,5,24360,0,0,1,6.75,4.5,811,300,42,5785,123
R641,15.8,40,17750,0,0,0,6.75,4.5,1128,175.1,42,5364,100.5
R648,28.4,65,17670,7.5,7.5,-1,8.75,5.5,1000,250,47,2330,137
